State Abbreviation,State,Gender,Age,Education Code,Education Level,Degree Field,Occupation Code,Occupation,Annual Income,Employment,Location Quotient,Jobs per 1000,Hourly Mean,Annual Mean Wage
MD,Maryland,Male,49,101,Bachelor's degree,6206,151211,Computer Systems Analysts,138789,13800.0,1.57,5.153,56.95,118460.0
MD,Maryland,Male,37,114,Master's degree,2100,113021,Computer And Information Systems Managers,151328,13570.0,1.3,5.068,81.85,170240.0
MD,Maryland,Female,53,114,Master's degree,5301,131111,Management Analysts,216182,21070.0,1.43,7.87,56.42,117360.0
MD,Maryland,Male,30,101,Bachelor's degree,2102,151252,Software Developers,151328,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,51,114,Master's degree,3600,119111,Medical And Health Services Managers,216182,14770.0,1.63,5.517,72.4,150590.0
MD,Maryland,Male,42,114,Master's degree,5502,131199,"Business Operations Specialists, All Other",153273,42100.0,2.16,15.723,49.32,102580.0
MD,Maryland,Male,57,114,Master's degree,3301,131111,Management Analysts,124305,21070.0,1.43,7.87,56.42,117360.0
MD,Maryland,Male,36,114,Master's degree,2100,151212,Information Security Analysts,211859,7890.0,2.55,2.947,66.44,138180.0
MD,Maryland,Male,47,116,Doctoral degree,6108,291051,Pharmacists,219425,5880.0,1.01,2.196,63.72,132530.0
MD,Maryland,Female,40,101,Bachelor's degree,3700,113031,Financial Managers,250231,16140.0,1.16,6.028,78.36,162980.0
MD,Maryland,Male,37,114,Master's degree,6203,151299,"Computer Occupations, All Other",162137,21560.0,2.8,8.052,64.72,134610.0
MD,Maryland,Male,49,114,Master's degree,5301,331012,First-Line Supervisors Of Police And Detectives,205373,7420.0,3.05,2.77,54.58,113520.0
MD,Maryland,Male,47,114,Master's degree,6203,151211,Computer Systems Analysts,123656,13800.0,1.57,5.153,56.95,118460.0
MD,Maryland,Male,47,101,Bachelor's degree,1302,131111,Management Analysts,129709,21070.0,1.43,7.87,56.42,117360.0
MD,Maryland,Male,47,114,Master's degree,6402,131111,Management Analysts,130790,21070.0,1.43,7.87,56.42,117360.0
MD,Maryland,Male,44,116,Doctoral degree,3702,152031,Operations Research Analysts,140735,3730.0,1.79,1.391,54.06,112450.0
MD,Maryland,Male,51,115,Professional degree,6203,193011,Economists,172946,900.0,3.12,0.337,65.56,136370.0
MD,Maryland,Female,42,101,Bachelor's degree,6109,291123,Physical Therapists,108091,4070.0,0.96,1.52,50.73,105520.0
MD,Maryland,Female,50,114,Master's degree,2310,291123,Physical Therapists,342649,4070.0,0.96,1.52,50.73,105520.0
MD,Maryland,Female,28,101,Bachelor's degree,2412,172011,Aerospace Engineers,102687,2810.0,2.39,1.05,73.17,152180.0
MD,Maryland,Female,50,114,Master's degree,6199,119021,Construction Managers,270228,5780.0,1.0,2.16,58.72,122140.0
MD,Maryland,Female,51,114,Master's degree,3600,113121,Human Resources Managers,126467,3610.0,1.02,1.349,74.88,155740.0
MD,Maryland,Male,26,101,Bachelor's degree,6200,151252,Software Developers,103011,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,27,115,Professional degree,2412,151252,Software Developers,103011,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Female,33,101,Bachelor's degree,6107,113012,Administrative Services Managers,108091,4550.0,1.06,1.698,60.34,125510.0
MD,Maryland,Male,53,114,Master's degree,2412,151211,Computer Systems Analysts,214129,13800.0,1.57,5.153,56.95,118460.0
MD,Maryland,Male,25,114,Master's degree,2414,151211,Computer Systems Analysts,192402,13800.0,1.57,5.153,56.95,118460.0
MD,Maryland,Male,48,101,Bachelor's degree,2102,151252,Software Developers,214453,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,63,115,Professional degree,1501,113121,Human Resources Managers,209697,3610.0,1.02,1.349,74.88,155740.0
MD,Maryland,Female,45,114,Master's degree,6107,131199,"Business Operations Specialists, All Other",103768,42100.0,2.16,15.723,49.32,102580.0
MD,Maryland,Male,46,101,Bachelor's degree,3702,151299,"Computer Occupations, All Other",118900,21560.0,2.8,8.052,64.72,134610.0
